ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0316392006,"Origin Story: A Big History of Everything Hardcover – May 22, 2018",David Christian,4.3,978-0316392006,0316392006,$20.40,$30.00,Science & Math,Nature & Ecology,In Stock.,https://www.amazon.com/dp/0316392006,16.0,ISBN10 number error
0385542763,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth First Edition Edition",Michio Kaku,4.4,978-0385542760,0385542763,$16.50,$29.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0385542763,16.0,ASIN number not found
0393081087,"The Food Lab: Better Home Cooking Through Science Hardcover – September 21, 2015",J. Kenji López-Alt,4.8,978-0393081084,0393081087,$33.96,$49.95,"Cookbooks, Food & Wine",Cooking by Ingredient,In Stock.,https://www.amazon.com/dp/0393081087,16.0,ASIN number not found
0393337642,"Naked Economics: Undressing the Dismal Science (Fully Revised and Updated) Paperback – April 19, 2010",Charles Wheelan,4.5,978-0393337648,0393337642,$11.52,$16.95,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/0393337642,16.0,ISBN10 number error
0393355470,Storm in a Teacup: The Physics of Everyday Life 1st Edition,Helen Czerski,4.6,978-0393355475,0393355470,$10.97,$15.95,"New, Used & Rental Textbooks",Science & Mathematics,In Stock.,https://www.amazon.com/dp/0393355470,16.0,ISBN10 number error
0393356183,"Norse Mythology Paperback – March 6, 2018",Neil Gaiman,4.4,978-0393356182,0393356183,$11.96,$15.95,Literature & Fiction,Literary,In Stock.,https://www.amazon.com/dp/0393356183,16.0,ISBN10 number error
0399184481,"Wonderland: How Play Made the Modern World Hardcover – November 15, 2016",Steven Johnson,3.9,978-0399184482,0399184481,$16.91,$30.00,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0399184481,16.0,ASIN number not found
045149699X,"Dining In: Highly Cookable Recipes Hardcover – October 24, 2017",Alison Roman,4.6,978-0451496997,045149699X,$18.60,$30.00,"Cookbooks, Food & Wine",Cooking Methods,In Stock.,https://www.amazon.com/dp/045149699X,16.0,ASIN number not found
0465060730,Basic Economics 5th Edition,Thomas Sowell,4.7,978-0465060733,0465060730,$27.19,$45.00,"New, Used & Rental Textbooks",Business & Finance,In Stock.,https://www.amazon.com/dp/0465060730,16.0,ISBN10 number error
0470120479,Building an Import / Export Business 4th Edition,Kenneth D. Weiss,4.0,978-0470120477,0470120479,$19.21,$19.21,Business & Money,Marketing & Sales,Only 20 left in stock (more on the way).,https://www.amazon.com/dp/0470120479,16.0,Original price not found
